,0
550,-0.28094885
551,-0.28209072
552,-0.28331718
553,-0.2846106
554,-0.28595424
555,-0.28733218
556,-0.2887292
557,-0.29013076
558,-0.29152292
559,-0.29289228
560,-0.29422605
561,-0.29551202
562,-0.29673856
563,-0.29789466
564,-0.29897
565,-0.29995513
566,-0.3008412
567,-0.3016204
568,-0.3022856
569,-0.302831
570,-0.30325222
571,-0.3035465
572,-0.3037123
573,-0.3037493
574,-0.3036579
575,-0.30343926
576,-0.30309507
577,-0.30262738
578,-0.30203873
579,-0.30133194
580,-0.30051014
581,-0.29957685
582,-0.29853576
583,-0.29739082
584,-0.29614624
585,-0.29480648
586,-0.29337627
587,-0.29186064
588,-0.29026493
589,-0.28859478
590,-0.2868562
591,-0.28505552
592,-0.2831995
593,-0.2812952
594,-0.27935016
595,-0.27737224
596,-0.27536982
597,-0.27335164
598,-0.2713269
599,-0.26930514
600,-0.2672962
601,-0.26531023
602,-0.26335755
603,-0.2614486
604,-0.25959378
605,-0.25780338
606,-0.25608736
607,-0.25445536
608,-0.2529163
609,-0.2514785
610,-0.25014922
611,-0.24893476
612,-0.24784015
613,-0.24686892
614,-0.2460226
615,-0.2453008
616,-0.24470146
617,-0.24422099
618,-0.24385455
619,-0.24359627
620,-0.24343939
621,-0.24337654
622,-0.24339983
623,-0.24350102
624,-0.24367169
625,-0.24390315
626,-0.24418673
627,-0.2445138
628,-0.24487583
629,-0.24526466
630,-0.24567248
631,-0.24609181
632,-0.24651578
633,-0.24693799
634,-0.24735269
635,-0.24775499
636,-0.24814124
637,-0.24850897
638,-0.24885687
639,-0.24918468
640,-0.24949308
641,-0.24978362
642,-0.25005862
643,-0.25032112
644,-0.2505747
645,-0.25082344
646,-0.25107178
647,-0.25132447
648,-0.2515864
649,-0.25186253
650,-0.2521577
651,-0.25247657
652,-0.2528234
653,-0.2532015
654,-0.2536135
655,-0.2540617
656,-0.2545481
657,-0.2550741
658,-0.25564012
659,-0.25624555
660,-0.25688893
661,-0.25756788
662,-0.25827935
663,-0.25901955
664,-0.2597841
665,-0.2605681
666,-0.2613662
667,-0.2621725
668,-0.26298085
669,-0.2637848
670,-0.2645776
671,-0.26535234
672,-0.266102
673,-0.26681945
674,-0.26749763
675,-0.26812947
676,-0.26870808
677,-0.2692267
678,-0.26967874
679,-0.27005798
680,-0.27035847
681,-0.27057493
682,-0.2707033
683,-0.27074063
684,-0.2706852
685,-0.2705362
686,-0.2702938
687,-0.26995888
688,-0.26953313
689,-0.26901883
690,-0.26841888
691,-0.26773673
692,-0.26697627
693,-0.26614186
694,-0.26523829
695,-0.26427066
696,-0.26324457
697,-0.26216584
698,-0.26104075
699,-0.2598759
700,-0.2586782
701,-0.25745478
702,-0.2562129
703,-0.25495985
704,-0.2537029
705,-0.25244915
706,-0.25120547
707,-0.24997838
708,-0.24877396
709,-0.24759774
710,-0.24645439
711,-0.24534723
712,-0.24427825
713,-0.24324828
714,-0.24225736
715,-0.24130519
716,-0.24039105
717,-0.23951356
718,-0.23867111
719,-0.23786193
720,-0.23708382
721,-0.23633374
722,-0.23560786
723,-0.23490165
724,-0.23421
725,-0.23352735
726,-0.23284778
727,-0.23216513
728,-0.23147307
729,-0.23076521
730,-0.23003516
731,-0.22927687
732,-0.22848509
733,-0.22765544
734,-0.22678436
735,-0.22586916
736,-0.22490788
737,-0.22389922
738,-0.2228426
739,-0.221738
740,-0.22058587
741,-0.21938713
742,-0.21814312
743,-0.21685556
744,-0.21552648
745,-0.2141582
746,-0.2127534
747,-0.21131495
748,-0.20984602
749,-0.20835008
750,-0.2068308
751,-0.2052921
752,-0.20373818
753,-0.20217346
754,-0.20060259
755,-0.19903043
756,-0.197462
757,-0.1959025
758,-0.19435713
759,-0.1928312
760,-0.19132999
761,-0.1898586
762,-0.188422
763,-0.18702476
764,-0.18567114
765,-0.18436478
766,-0.18310851
767,-0.18190382
768,-0.18075089
769,-0.17964879
770,-0.17859554
771,-0.17758839
772,-0.17662385
773,-0.17569792
774,-0.1748062
775,-0.17394435
776,-0.17310844
777,-0.17229514
778,-0.1715016
779,-0.17072545
780,-0.1699644
781,-0.16921592
782,-0.16847715
783,-0.16774505
784,-0.16701682
785,-0.16629027
786,-0.16556399
787,-0.16483724
788,-0.16410993
789,-0.16338255
790,-0.16265614
791,-0.16193227
792,-0.16121295
793,-0.16050062
794,-0.15979804
795,-0.1591083
796,-0.15843464
797,-0.15778056
798,-0.15714958
799,-0.1565453
800,-0.15597123
801,-0.15543076
802,-0.15492706
803,-0.15446278
804,-0.15403965
805,-0.15365843
806,-0.1533191
807,-0.15302096
808,-0.15276276
809,-0.15254304
810,-0.15236057
811,-0.1522144
812,-0.15210369
813,-0.15202777
814,-0.15198593
815,-0.15197743
816,-0.15200143
817,-0.15205662
818,-0.15214096
819,-0.15225154
820,-0.15238471
821,-0.15253608
822,-0.15270074
823,-0.15287325
