neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
16,9,4,0.1,saved_models/model_U16_U29_TS4_L2-0.1.keras,0.9167230129241943,0.006424838211387396,0.902344286441803,0.013633528724312782,0.7609757781028748,0.012999050319194794
17,12,4,0.1,saved_models/model_U17_U212_TS4_L2-0.1.keras,0.9363970756530762,0.004906980320811272,0.9047542214393616,0.013297087512910366,0.7609668970108032,0.01299953181296587
11,2,3,0.1,saved_models/model_U11_U22_TS3_L2-0.1.keras,0.9364782571792603,0.004898490849882364,0.881554126739502,0.01652395911514759,0.7605500817298889,0.013015796430408955
20,12,3,0.1,saved_models/model_U20_U212_TS3_L2-0.1.keras,0.9384301900863647,0.004747968632727861,0.881332516670227,0.016554871574044228,0.7597856521606445,0.013057350181043148
13,4,4,0.9,saved_models/model_U13_U24_TS4_L2-0.9.keras,0.9384180307388306,0.0047510648146271706,0.8897107243537903,0.015397277660667896,0.7588726282119751,0.01311342604458332
15,4,3,0.1,saved_models/model_U15_U24_TS3_L2-0.1.keras,0.9354113340377808,0.004980765283107758,0.8916934728622437,0.015109457075595856,0.7568162083625793,0.013218758627772331
17,12,4,0.9,saved_models/model_U17_U212_TS4_L2-0.9.keras,0.9354682564735413,0.004978638142347336,0.8995212316513062,0.014027655124664307,0.7568127512931824,0.013225452043116093
13,4,3,0.1,saved_models/model_U13_U24_TS3_L2-0.1.keras,0.9360978007316589,0.004927830304950476,0.8991943001747131,0.014063043519854546,0.7567279934883118,0.013223553076386452
15,4,3,0.9,saved_models/model_U15_U24_TS3_L2-0.9.keras,0.9338646531105042,0.005100039299577475,0.8801661729812622,0.016717586666345596,0.7563973665237427,0.013241524808108807
19,6,3,0.9,saved_models/model_U19_U26_TS3_L2-0.9.keras,0.930931568145752,0.005326224956661463,0.8792964220046997,0.016838926821947098,0.7562054991722107,0.013251954689621925
11,6,3,0.1,saved_models/model_U11_U26_TS3_L2-0.1.keras,0.9214633703231812,0.006056366953998804,0.8953473567962646,0.014599715359508991,0.7560837268829346,0.013258574530482292
17,13,3,0.9,saved_models/model_U17_U213_TS3_L2-0.9.keras,0.940299391746521,0.004603822715580463,0.8892257809638977,0.01545371487736702,0.7557757496833801,0.013275315053761005
11,2,4,0.1,saved_models/model_U11_U22_TS4_L2-0.1.keras,0.9463599920272827,0.004138338845223188,0.8898231387138367,0.01538158394396305,0.7535845637321472,0.013401012867689133
17,6,4,0.1,saved_models/model_U17_U26_TS4_L2-0.1.keras,0.9311791062355042,0.0053095463663339615,0.8996115326881409,0.014015045017004013,0.7535273432731628,0.013404123485088348
10,5,3,0.9,saved_models/model_U10_U25_TS3_L2-0.9.keras,0.9041296243667603,0.0073930625803768635,0.8900867700576782,0.01533360406756401,0.7523148655891418,0.013463439419865608
13,11,3,0.9,saved_models/model_U13_U211_TS3_L2-0.9.keras,0.9332870841026306,0.00514457980170846,0.9092375040054321,0.012661946937441826,0.7519956827163696,0.013480788096785545
15,14,4,0.1,saved_models/model_U15_U214_TS4_L2-0.1.keras,0.9225361347198486,0.005976355634629726,0.8900092840194702,0.015355599112808704,0.7519729137420654,0.013488661497831345
14,12,4,0.9,saved_models/model_U14_U212_TS4_L2-0.9.keras,0.9397304654121399,0.00464980723336339,0.9021652936935425,0.013658520765602589,0.751695454120636,0.013503748923540115
11,2,4,0.9,saved_models/model_U11_U22_TS4_L2-0.9.keras,0.9220571517944336,0.006013310514390469,0.8975066542625427,0.01430890616029501,0.7510351538658142,0.013539659790694714
10,5,4,0.9,saved_models/model_U10_U25_TS4_L2-0.9.keras,0.9250625967979431,0.005781436339020729,0.8974593281745911,0.014315513893961906,0.7507076859474182,0.013557467609643936
10,5,3,0.1,saved_models/model_U10_U25_TS3_L2-0.1.keras,0.9090784788131714,0.007011428941041231,0.8954145312309265,0.014590342529118061,0.7498496174812317,0.013597441837191582
13,4,3,0.9,saved_models/model_U13_U24_TS3_L2-0.9.keras,0.948384165763855,0.003980367910116911,0.8943168520927429,0.014743476174771786,0.7486766576766968,0.013661199249327183
12,11,3,0.1,saved_models/model_U12_U211_TS3_L2-0.1.keras,0.9262566566467285,0.005686734803020954,0.8984706997871399,0.014163991436362267,0.7484637498855591,0.01367277279496193
17,6,4,0.9,saved_models/model_U17_U26_TS4_L2-0.9.keras,0.926437497138977,0.005675362888723612,0.8978861570358276,0.014255919493734837,0.7469513416290283,0.013761754147708416
13,4,3,0.9,saved_models/model_U13_U24_TS3_L2-0.9.keras,0.9350402355194092,0.005009387619793415,0.9015316963195801,0.013736958615481853,0.7453659772872925,0.013841159641742706
11,2,4,0.9,saved_models/model_U11_U22_TS4_L2-0.9.keras,0.9469807147979736,0.0040904502384364605,0.9090683460235596,0.012694797478616238,0.7444014549255371,0.013900426216423512
16,8,3,0.9,saved_models/model_U16_U28_TS3_L2-0.9.keras,0.9206117987632751,0.006122036837041378,0.8960038423538208,0.014508130960166454,0.7442765831947327,0.013900375925004482
18,11,3,0.9,saved_models/model_U18_U211_TS3_L2-0.9.keras,0.9462313652038574,0.00414638128131628,0.88653963804245,0.0158284492790699,0.7441314458847046,0.01390826515853405
17,12,3,0.1,saved_models/model_U17_U212_TS3_L2-0.1.keras,0.9360439777374268,0.004931983072310686,0.8812193870544434,0.01657065749168396,0.7436845302581787,0.013932560570538044
12,11,3,0.9,saved_models/model_U12_U211_TS3_L2-0.9.keras,0.9265795946121216,0.005661827512085438,0.9009398221969604,0.013819528743624687,0.7432699203491211,0.013955095782876015
18,16,3,0.9,saved_models/model_U18_U216_TS3_L2-0.9.keras,0.9108823537826538,0.0068723238073289394,0.8888908624649048,0.015500439330935478,0.7426580190658569,0.013988354243338108
